name,group
Guajiras,Cantes De Ida Y Vuelta
Vidalitas,Cantes De Ida Y Vuelta
Milongas,Cantes De Ida Y Vuelta
Rumbas,Cantes De Ida Y Vuelta
Colombianas,Cantes De Ida Y Vuelta
Garrotines,Cantes De Galajco-Asturiano
Farrucas,Cantes De Galajco-Asturiano
Fandangos Personales,Cantes De Granada
Fandango De Facinas,Cantes De Granada
Fandango de Almeria,Cantes De Granada
Fandangos Robabos,Cantes De Granada
Fandango de Baza,Cantes De Granada
Fandango de Guejar-Sierra,Cantes De Granada
Fandango de La Peza,Cantes De Granada
Granainas,Cantes De Granada
Rengel,Fandangos De Huelva
Perez de Guzmán,Fandangos De Huelva
Encinasoia,Fandangos De Huelva
Paymogo,Fandangos De Huelva
Cerro de Andévalo,Fandangos De Huelva
Santa Bárbara,Fandangos De Huelva
Los Castilejos,Fandangos De Huelva
El Almendro,Fandangos De Huelva
St. Lucar de Guadiana,Fandangos De Huelva
Rio Tinto,Fandangos De Huelva
Calañas,Fandangos De Huelva
Cabezas Rubias,Fandangos De Huelva
Cortegana,Fandangos De Huelva
Cumbres Mayores,Fandangos De Huelva
Almonte,Fandangos De Huelva
Alosno,Fandangos De Huelva
Valverde,Fandangos De Huelva
huelva,Fandangos De Huelva